"Season","1st Date","# of Perfs","Conductor","Orch.","Location","Venue","Event","Soloist","ID"
"1973-74","05/16/1974 20:30:00","3","Zubin Mehta","New York Philharmonic","Manhattan, NY","Avery Fisher Hall","Subscription Season","John Cerminaro","4585"
"1973-74","04/26/1974 14:00:00","2","Pierre Boulez","New York Philharmonic","Manhattan, NY","Avery Fisher Hall","Subscription Season","Eliot Chapo","222"
"1973-74","01/10/1974 20:30:00","3","Leonard Slatkin","New York Philharmonic","Manhattan, NY","Avery Fisher Hall","Subscription Season","Byron Janis","1889"
"1973-74","09/12/1973 20:00:00","1","Pierre Boulez","New York Philharmonic","Rock Hill, SC","Byrnes Auditorium","Tour","","13161"
"1973-74","09/06/1973 20:15:00","1","Pierre Boulez","New York Philharmonic","Lexington, KY","Memorial Coliseum","Tour","","2138"
"1972-73","07/17/1973 20:30:00","1","Michael Tilson Thomas","New York Philharmonic","Manhattan, NY","Central Park Sheep Meadow","Parks","Horacio Gutierrez","5517"
"1972-73","05/03/1973 20:30:00","4","Rafael Kubelík","New York Philharmonic","Manhattan, NY","Philharmonic Hall","Subscription Season","Rudolf Firkusny","3683"
"1972-73","01/27/1973 20:30:00","1","Pierre Boulez","New York Philharmonic","Manhattan, NY","Philharmonic Hall","Subscription Season","John Cerminaro","1007"
"1972-73","01/25/1973 20:30:00","3","Pierre Boulez","New York Philharmonic","Manhattan, NY","Philharmonic Hall","Subscription Season","Rudolf Serkin","1002"
"1972-73","01/05/1973 14:00:00","1","Pierre Boulez","New York Philharmonic","Manhattan, NY","Philharmonic Hall","Subscription Season","André Watts","978"
"1971-72","09/05/1972 20:00:00","1","Erich Leinsdorf","New York Philharmonic","Kansas City, MO","Music Hall","Tour","","13343"
"1971-72","08/31/1972 00:00:00","1","Erich Leinsdorf","New York Philharmonic","Madison, WI","Union Theater","Tour","Kyung-Wha Chung","13344"
"1971-72","08/24/1972 20:30:00","1","Erich Leinsdorf","New York Philharmonic","Rochester, MI","Meadowbrook Music Festival","Tour","Kyung-Wha Chung","4260"
"1971-72","03/30/1972 20:30:00","4","Dean Dixon","New York Philharmonic","Manhattan, NY","Philharmonic Hall","Subscription Season","Tossy Spivakovsky","1430"
"1970-71","01/28/1971 20:30:00","3","Seiji Ozawa","New York Philharmonic","Manhattan, NY","Philharmonic Hall","Subscription Season","Masuko Ushioda","6617"
"1970-71","01/23/1971 12:10:00","1","Dean Dixon","New York Philharmonic","Manhattan, NY","Philharmonic Hall","Young People's Concert","","3646"
"1970-71","09/22/1970 20:30:00","1","Leonard Bernstein","New York Philharmonic","Manhattan, NY","Philharmonic Hall","Pension Fund Benefit Concert","Alexander Slobodyanik","4563"
"1970-71","09/05/1970 19:00:00","1","Leonard Bernstein","New York Philharmonic","Nagoya, JAPAN","Concert Hall (Aichi)","Tour","","13346"
"1970-71","09/03/1970 18:30:00","1","Leonard Bernstein","New York Philharmonic","Fukuoka, JAPAN","The Sport Center","Tour","","6791"
"1970-71","09/01/1970 19:00:00","1","Leonard Bernstein","New York Philharmonic","Osaka, JAPAN","Festival Hall","Tour","","6785"
"1969-70","08/11/1970 20:30:00","5","Rafael Fruhbeck de Burgos","New York Philharmonic","Manhattan, NY,Queens, NY,Brooklyn, NY,Staten Island, NY,Bronx, NY","Central Park Sheep Meadow,Crocheron Park,Prospect Park,Clove Lake Park,NY Botanical Garden","Parks","Alicia de Larrocha","7166"
"1969-70","04/11/1970 20:30:00","1","George Szell","New York Philharmonic","Manhattan, NY","Philharmonic Hall","Subscription Season","Joseph Kalichstein","3996"
"1969-70","12/31/1969 20:30:00","5","Rafael Fruhbeck de Burgos","New York Philharmonic","Manhattan, NY","Philharmonic Hall","Subscription Season","Norma Lerer","2015"
"1969-70","10/09/1969 20:30:00","4","Seiji Ozawa","New York Philharmonic","Manhattan, NY","Philharmonic Hall","Subscription Season","Corky Siegel Blues Band","653"
"1968-69","07/29/1969 20:30:00","2","Josef Krips","New York Philharmonic","Manhattan, NY,Brooklyn, NY","Central Park Sheep Meadow,Prospect Park","Parks","John Browning","4851"
"1968-69","02/20/1969 20:30:00","4","Seiji Ozawa","New York Philharmonic","Manhattan, NY","Philharmonic Hall","Subscription Season","Vladimir Ashkenazy","4726"
"1968-69","11/07/1968 20:30:00","4","Colin Davis","New York Philharmonic","Manhattan, NY","Philharmonic Hall","Subscription Season","","7014"
"1967-68","08/13/1968 20:30:00","2","Julius Rudel","New York Philharmonic","Manhattan, NY,Brooklyn, NY","Central Park Sheep Meadow,Prospect Park","Parks","Patricia Brooks","921"
"1967-68","05/16/1968 20:30:00","3","Leonard Bernstein","New York Philharmonic","Manhattan, NY","Philharmonic Hall","Subscription Season","Sena Jurinac","2163"
"1967-68","05/09/1968 20:30:00","4","Thomas Schippers","New York Philharmonic","Manhattan, NY","Philharmonic Hall","Subscription Season","Stanley Drucker","2159"
"1967-68","03/28/1968 20:30:00","4","George Szell","New York Philharmonic","Manhattan, NY","Philharmonic Hall","Subscription Season","","815"
"1967-68","01/06/1968 12:00:00","1","Leonard Bernstein,Paul Capolongo","New York Philharmonic","Manhattan, NY","Philharmonic Hall","Young People's Concert","Joseph Kalichstein","3873"
"1967-68","01/04/1968 20:30:00","3","Leonard Bernstein","New York Philharmonic","Manhattan, NY","Philharmonic Hall","Subscription Season","Leonard Bernstein","6826"
"1967-68","12/07/1967 20:30:00","1","Leonard Bernstein","New York Philharmonic","Manhattan, NY","Philharmonic Hall","Subscription Season","Eileen Farrell","3137"
"1967-68","09/30/1967 00:00:00","1","Leonard Bernstein","New York Philharmonic","Montreal, CANADA","Place des Arts","Tour","","7107"
"1966-67","07/15/1967 20:30:00","1","Alfred Wallenstein","New York Philharmonic","Greenvale, NY","CWP Auditorium","Runout","Michael Rabin","2577"
"1966-67","01/23/1967 20:30:00","1","Paul Capolongo","New York Philharmonic","Manhattan, NY","Philharmonic Hall","Special","","5998"
"1966-67","01/24/1967 00:00:00","1","Leonard Bernstein","New York Philharmonic","White Plains, NY","Westchester County Center","Runout","","6005"
"1966-67","01/05/1967 20:30:00","4","Leonard Bernstein","New York Philharmonic","Manhattan, NY","Philharmonic Hall","Subscription Season","Zvi Zeitlin","5976"
"1966-67","12/01/1966 20:30:00","4","William Steinberg","New York Philharmonic","Manhattan, NY","Philharmonic Hall","Subscription Season","Rudolf Firkusny","2233"
"1966-67","11/17/1966 20:30:00","3","Lorin Maazel","New York Philharmonic","Manhattan, NY","Philharmonic Hall","Subscription Season","Emil Gilels","5265"
"1966-67","10/27/1966 20:30:00","4","Leonard Bernstein","New York Philharmonic","Manhattan, NY","Philharmonic Hall","Subscription Season","Wilhelm Kempff","890"
"1966-67","10/22/1966 12:00:00","1","Leonard Bernstein","New York Philharmonic","Manhattan, NY","Philharmonic Hall","Young People's Concert","","5306"
"1966-67","09/29/1966 20:30:00","4","Leonard Bernstein","New York Philharmonic","Manhattan, NY","Philharmonic Hall","Subscription Season","","3914"
"1966-67","09/25/1966 15:00:00","1","Leonard Bernstein","New York Philharmonic","Boston, MA","Symphony Hall","Tour","","13456"
"1966-67","09/16/1966 20:15:00","1","Leonard Bernstein","New York Philharmonic","Villanova, PA","Villanova University","Tour","","6182"
"1965-66","07/30/1966 20:30:00","1","Leonard Bernstein","New York Philharmonic","Greenvale, NY","L.I. Festival Tent","Runout","","1660"
"1965-66","01/27/1966 20:30:00","3","Leonard Bernstein","New York Philharmonic","Manhattan, NY","Philharmonic Hall","Subscription Season","Julius Baker","5057"
"1965-66","01/06/1966 20:30:00","4","William Steinberg","New York Philharmonic","Manhattan, NY","Philharmonic Hall","Subscription Season","Arturo Benedetti Michelangeli","5032"
"1965-66","10/24/1965 00:00:00","1","Leonard Bernstein","New York Philharmonic","Manhattan, NY","United Nations General Assembly Hall","Subscription Season","Schola Cantorum of NY","7362"
"1964-65","08/10/1965 20:30:00","3","William Steinberg","New York Philharmonic","Manhattan, NY,Brooklyn, NY,Bronx, NY","Central Park Sheep Meadow,Prospect Park,NY Botanical Garden","Parks","Manhattan Singers,Joanna Simon,Ella Lee,Richard Cassilly,John West","1159"
"1964-65","05/13/1965 20:30:00","4","William Steinberg","New York Philharmonic","Manhattan, NY","Philharmonic Hall","Subscription Season","Edith Peinemann","2394"
"1964-65","02/18/1965 20:30:00","4","Josef Krips","New York Philharmonic","Manhattan, NY","Philharmonic Hall","Subscription Season","Gina Bachauer","4092"
"1964-65","02/04/1965 20:30:00","4","Thomas Schippers","New York Philharmonic","Manhattan, NY","Philharmonic Hall","Subscription Season","Regine Crespin","4074"
"1964-65","01/23/1965 20:30:00","1","Thomas Schippers","New York Philharmonic","Manhattan, NY","Philharmonic Hall","Subscription Season","André Watts","7109"
"1964-65","01/21/1965 20:30:00","2","Thomas Schippers","New York Philharmonic","Manhattan, NY","Philharmonic Hall","Subscription Season","André Watts","7104"
"1964-65","10/27/1964 20:30:00","1","Arthur Fiedler","New York Philharmonic","Manhattan, NY","Philharmonic Hall","Special","Ozan Marsh","2087"
"1963-64","08/04/1964 20:30:00","1","Seiji Ozawa","Stadium-NY Philharmonic","Manhattan, NY","Lewisohn Stadium","Stadium Concert","Leon Fleisher","10949"
"1963-64","07/22/1964 20:30:00","1","Joseph Rosenstock","Stadium-NY Philharmonic","Manhattan, NY","Lewisohn Stadium","Stadium Concert","","11483"
"1963-64","05/14/1964 20:30:00","4","Leonard Bernstein","New York Philharmonic","Manhattan, NY","Philharmonic Hall","Subscription Season","Martina Arroyo","1458"
"1963-64","04/30/1964 20:30:00","4","Leonard Bernstein","New York Philharmonic","Manhattan, NY","Philharmonic Hall","Subscription Season","Gary Graffman","4526"
"1963-64","01/16/1964 20:30:00","4","Leonard Bernstein","New York Philharmonic","Manhattan, NY","Philharmonic Hall","Subscription Season","Rudolf Serkin","6214"
"1963-64","11/21/1963 20:30:00","1","George Szell","New York Philharmonic","Manhattan, NY","Philharmonic Hall","Subscription Season","Robert Casadesus","5505"
"1963-64","10/03/1963 20:30:00","4","Leonard Bernstein","New York Philharmonic","Manhattan, NY","Philharmonic Hall","Subscription Season","Ruggiero Ricci","1116"
"1963-64","09/20/1963 20:30:00","1","Leonard Bernstein,Seiji Ozawa","New York Philharmonic","Baltimore, MD","Civic Center","Tour","","6471"
"1963-64","09/15/1963 15:00:00","1","Leonard Bernstein,Seiji Ozawa","New York Philharmonic","Pittsburgh, PA","Civic Arena","Tour","","6458"
"1963-64","09/12/1963 20:20:00","1","Leonard Bernstein,Seiji Ozawa","New York Philharmonic","Detroit, MI","Masonic Auditorium","Tour","","6443"
"1963-64","09/06/1963 20:30:00","1","Leonard Bernstein,Seiji Ozawa","New York Philharmonic","Milwaukee, WI","Temple of Music","Tour","","6418"
"1963-64","09/07/1963 20:15:00","1","Leonard Bernstein","New York Philharmonic","Chicago, IL","Opera House","Tour","","6424"
"1963-64","09/05/1963 20:30:00","1","Leonard Bernstein,Seiji Ozawa","New York Philharmonic","Denver, CO","Auditorium Arena","Tour","","6412"
"1962-63","08/29/1963 20:30:00","1","Leonard Bernstein","New York Philharmonic","Hollywood, CA","Hollywood Bowl","Tour","André Watts","2071"
"1962-63","07/30/1963 20:30:00","1","Joseph Rosenstock","Stadium-NY Philharmonic","Manhattan, NY","Lewisohn Stadium","Stadium Concert","Gary Graffman","11453"
"1962-63","07/16/1963 20:30:00","1","Vladimir Golschmann","Stadium-NY Philharmonic","Manhattan, NY","Lewisohn Stadium","Stadium Concert","Christian Ferras","11445"
"1962-63","05/11/1963 12:00:00","1","Leonard Bernstein,Zoltan Rozsnyai,Yuri Krasnopolsky,Serge Fournier","New York Philharmonic","Manhattan, NY","Philharmonic Hall","Young People's Concert","","5004"
"1962-63","05/09/1963 20:30:00","4","Leonard Bernstein","New York Philharmonic","Manhattan, NY","Philharmonic Hall","Subscription Season","John Corigliano","586"
"1962-63","02/28/1963 20:30:00","4","George Szell","New York Philharmonic","Manhattan, NY","Philharmonic Hall","Subscription Season","Clifford Curzon","2281"
"1962-63","02/22/1963 00:00:00","1","Leonard Bernstein","New York Philharmonic","Ft. Lauderdale, FL","War Memorial Auditorium","Tour","","4534"
"1962-63","12/13/1962 20:30:00","4","Lorin Maazel","New York Philharmonic","Manhattan, NY","Philharmonic Hall","Subscription Season","Christian Ferras","1574"
"1962-63","11/22/1962 20:30:00","4","Karl Boehm","New York Philharmonic","Manhattan, NY","Philharmonic Hall","Subscription Season","Julius Katchen","4610"
"1962-63","10/04/1962 20:30:00","4","Leonard Bernstein","New York Philharmonic","Manhattan, NY","Philharmonic Hall","Subscription Season","","230"
"1961-62","08/10/1962 20:30:00","1","Josef Krips","Stadium-NY Philharmonic","Manhattan, NY","Lewisohn Stadium","Stadium Concert","Pierrette Alarie","11434"
"1961-62","07/11/1962 20:30:00","1","Franz Allers","Stadium-NY Philharmonic","Manhattan, NY","Lewisohn Stadium","Stadium Concert","Ania Dorfmann","11406"
"1961-62","07/05/1962 20:30:00","1","Vladimir Golschmann","Stadium-NY Philharmonic","Manhattan, NY","Lewisohn Stadium","Stadium Concert","Mischa Elman","11401"
"1961-62","04/26/1962 20:30:00","4","Leonard Bernstein","New York Philharmonic","Manhattan, NY","Carnegie Hall","Subscription Season","Rudolf Serkin","2728"
"1961-62","12/14/1961 20:30:00","4","Josef Krips","New York Philharmonic","Manhattan, NY","Carnegie Hall","Subscription Season","Felicia Montealegre","677"
"1961-62","11/30/1961 20:30:00","4","Josef Krips","New York Philharmonic","Manhattan, NY","Carnegie Hall","Subscription Season","","3707"
"1961-62","11/09/1961 20:30:00","4","Paul Paray","New York Philharmonic","Manhattan, NY","Carnegie Hall","Subscription Season","","3698"
"1961-62","11/07/1961 20:30:00","1","Leonard Bernstein","New York Philharmonic","White Plains, NY","Westchester County Center","Subscription Season","Zara Nelsova","3695"
"1961-62","09/26/1961 20:30:00","1","Leonard Bernstein","New York Philharmonic","Manhattan, NY","Carnegie Hall","Pension Fund Benefit Concert","Eileen Farrell","2363"
"1961-62","09/24/1961 15:00:00","1","Leonard Bernstein","New York Philharmonic","Washington, DC","Constitution Hall","Tour","Eileen Farrell","4616"
"1961-62","09/23/1961 20:30:00","1","Leonard Bernstein","New York Philharmonic","Richmond, VA","The Mosque","Tour","Eileen Farrell","4611"
"1961-62","09/21/1961 20:30:00","1","Leonard Bernstein","New York Philharmonic","Philadelphia, PA","Academy of Music","Tour","Eileen Farrell","4601"
"1960-61","07/19/1961 20:30:00","1","Josef Krips","Stadium-NY Philharmonic","Manhattan, NY","Lewisohn Stadium","Stadium Concert","Benno Moiseiwitsch","11386"
"1960-61","05/13/1961 00:00:00","1","Leonard Bernstein","New York Philharmonic","Toronto, CANADA","O'Keefe Centre","Tour","Jennie Tourel","3991"
"1960-61","05/09/1961 20:30:00","1","Leonard Bernstein","New York Philharmonic","Anchorage, AK","Romig Hill Auditorium","Tour","Jennie Tourel","3968"
"1960-61","05/07/1961 15:00:00","1","Leonard Bernstein","New York Philharmonic","Hitachi City, JAPAN","Kodaira Memorial Hall","Tour","","3962"
"1960-61","04/28/1961 18:30:00","1","Leonard Bernstein","New York Philharmonic","Shizuoka, JAPAN","City Hall","Tour","","6995"
"1960-61","03/18/1961 20:30:00","1","Leonard Bernstein","New York Philharmonic","Manhattan, NY","Carnegie Hall","Subscription Season","","399"
"1960-61","02/02/1961 20:30:00","3","Alfred Wallenstein","New York Philharmonic","Manhattan, NY","Carnegie Hall","Subscription Season","Zvi Zeitlin","3432"
"1960-61","01/19/1961 20:30:00","4","Paul Paray","New York Philharmonic","Manhattan, NY","Carnegie Hall","Subscription Season","Zadel Skolovsky","6459"
"1960-61","10/15/1960 20:30:00","3","Leonard Bernstein","New York Philharmonic","Newark, NJ,Brooklyn, NY,White Plains, NY","Mosque Theatre,Brooklyn Academy of Music,Westchester County Center","Subscription Season","Leonard Bernstein","1360"
"1960-61","09/27/1960 20:30:00","1","Leonard Bernstein","New York Philharmonic","Manhattan, NY","Carnegie Hall","Pension Fund Benefit Concert","Isaac Stern","4392"
"1960-61","09/09/1960 20:30:00","1","Leonard Bernstein","New York Philharmonic","Chicago, IL","Opera House","Tour","","6662"
"1959-60","08/28/1960 15:00:00","1","Leonard Bernstein,Russell Stanger","New York Philharmonic","Berkeley, CA","Berkeley Community Theatre","Tour","","2344"
"1959-60","07/07/1960 20:30:00","1","Josef Krips","Stadium-NY Philharmonic","Manhattan, NY","Lewisohn Stadium","Stadium Concert","Theresa Greene-Coleman","11343"
"1959-60","07/06/1960 20:30:00","1","Josef Krips","Stadium-NY Philharmonic","Manhattan, NY","Lewisohn Stadium","Stadium Concert","David Bar-Illan","11342"
"1959-60","07/05/1960 20:30:00","1","Josef Krips","Stadium-NY Philharmonic","Manhattan, NY","Lewisohn Stadium","Stadium Concert","Mischa Elman","11341"
"1959-60","06/23/1960 20:30:00","1","Pierre Monteux","Stadium-NY Philharmonic","Manhattan, NY","Lewisohn Stadium","Stadium Concert","Lorin Hollander","11334"
"1959-60","05/15/1960 20:30:00","1","Leonard Bernstein","New York Philharmonic","Manhattan, NY","Carnegie Hall","Pension Fund Benefit Concert","Rudolf Serkin","851"
"1959-60","12/31/1959 20:30:00","4","Dimitri Mitropoulos","New York Philharmonic","Manhattan, NY","Carnegie Hall","Subscription Season","James Chambers","1818"
"1959-60","11/12/1959 20:30:00","4","Thomas Schippers","New York Philharmonic","Manhattan, NY","Carnegie Hall","Subscription Season","Leontyne Price","4840"
"1959-60","11/05/1959 20:30:00","3","Eleazar De Carvalho","New York Philharmonic","Manhattan, NY","Carnegie Hall","Subscription Season","Robert Casadesus","4830"
"1959-60","10/20/1959 20:30:00","1","Leonard Bernstein","New York Philharmonic","Boston, MA","Symphony Hall","Runout","Leonard Bernstein","13591"
"1959-60","10/19/1959 20:30:00","1","Leonard Bernstein","New York Philharmonic","Springfield, MA","Municipal Auditorium","Runout","Leonard Bernstein","13589"
"1959-60","10/16/1959 14:15:00","3","Leonard Bernstein","New York Philharmonic","Manhattan, NY","Carnegie Hall","Subscription Season","Leonard Bernstein","453"
"1959-60","10/15/1959 20:30:00","1","Leonard Bernstein","New York Philharmonic","Manhattan, NY","Carnegie Hall","Subscription Season","Leonard Bernstein","448"
"1959-60","10/12/1959 20:30:00","1","Leonard Bernstein","New York Philharmonic","Washington, DC","Constitution Hall","Subscription Season","Leonard Bernstein,John Corigliano,Laszlo Varga","444"
"1959-60","10/06/1959 20:00:00","1","Leonard Bernstein","New York Philharmonic","Stockholm, SWEDEN","Konserthuset","Tour","Leonard Bernstein,John Corigliano,Laszlo Varga","2751"
"1959-60","09/30/1959 21:00:00","1","Leonard Bernstein","New York Philharmonic","Hamburg, GERMANY","Musikhalle","Tour","Leonard Bernstein,John Corigliano,Laszlo Varga","5844"
"1959-60","09/20/1959 21:00:00","1","Leonard Bernstein","New York Philharmonic","Paris, FRANCE","Palais de Chaillot","Tour","Seymour Lipkin","5804"
"1959-60","09/15/1959 20:00:00","1","Thomas Schippers","New York Philharmonic","Dusseldorf, GERMANY","Rheinhalle","Tour","","5790"
"1959-60","09/11/1959 20:45:00","1","Leonard Bernstein","New York Philharmonic","Moscow, USSR","Tchaikovsky Conservatory Hall","Tour","","5782"
"1959-60","09/10/1959 20:00:00","1","Thomas Schippers","New York Philharmonic","Moscow, USSR","Tchaikovsky Conservatory Hall","Tour","No Soloist","5781"
"1959-60","09/07/1959 20:00:00","1","Leonard Bernstein","New York Philharmonic","Kiev, USSR","Bolshoi Zal","Tour","Leonard Bernstein","5773"
"1959-60","09/06/1959 12:00:00","1","Leonard Bernstein","New York Philharmonic","Kiev, USSR","Bolshoi Zal","Tour","Leonard Bernstein,John Corigliano,Laszlo Varga","5767"
"1959-60","09/04/1959 20:00:00","1","Thomas Schippers","New York Philharmonic","Kiev, USSR","Bolshoi Zal","Tour","","5758"
"1959-60","09/01/1959 20:45:00","1","Thomas Schippers","New York Philharmonic","Leningrad, USSR","Bolshoi Hall","Tour","No Soloist","5748"
"1958-59","08/29/1959 20:45:00","1","Leonard Bernstein","New York Philharmonic","Leningrad, USSR","Bolshoi Hall","Tour","Leonard Bernstein,John Corigliano,Laszlo Varga","1429"
"1958-59","08/28/1959 20:45:00","1","Leonard Bernstein","New York Philharmonic","Leningrad, USSR","Bolshoi Hall","Tour","Seymour Lipkin","1424"
"1958-59","08/24/1959 20:00:00","1","Leonard Bernstein","New York Philharmonic","Moscow, USSR","Tchaikovsky Conservatory Hall","Tour","Leonard Bernstein,John Corigliano,Laszlo Varga","1411"
"1958-59","08/13/1959 21:30:00","1","Leonard Bernstein","New York Philharmonic","Thessalonika, GREECE","Y.M.C.A. Stadium","Tour","Seymour Lipkin","1374"
"1958-59","08/06/1959 20:45:00","1","Thomas Schippers","New York Philharmonic","Athens, GREECE","Herodes Atticus Theatre","Tour","","1351"
"1958-59","08/05/1959 20:45:00","1","Leonard Bernstein","New York Philharmonic","Athens, GREECE","Herodes Atticus Theatre","Tour","Leonard Bernstein","1347"
"1958-59","07/29/1959 20:30:00","1","Josef Krips","Stadium-NY Philharmonic","Manhattan, NY","Lewisohn Stadium","Stadium Concert","John Corigliano","11365"
"1958-59","07/28/1959 20:30:00","1","Josef Krips","Stadium-NY Philharmonic","Manhattan, NY","Lewisohn Stadium","Stadium Concert","Gina Bachauer","11364"
"1958-59","07/22/1959 20:30:00","1","Carlos Chávez","Stadium-NY Philharmonic","Manhattan, NY","Lewisohn Stadium","Stadium Concert","Claudio Arrau,Charles K. L. Davis","11359"
"1958-59","06/04/1959 20:45:00","1","Andre Kostelanetz","New York Philharmonic","Manhattan, NY","Carnegie Hall","Special","","5206"
"1958-59","04/16/1959 20:30:00","4","Leonard Bernstein","New York Philharmonic","Manhattan, NY","Carnegie Hall","Subscription Season","Isaac Stern","3004"
"1958-59","03/31/1959 00:00:00","1","Leonard Bernstein","New York Philharmonic","Englewood, NJ","Dwight Morrow High School","Runout","John Corigliano","6041"
"1958-59","02/26/1959 20:30:00","4","Pierre Monteux","New York Philharmonic","Manhattan, NY","Carnegie Hall","Subscription Season","Rudolf Serkin","1638"
"1958-59","02/19/1959 20:30:00","3","Leonard Bernstein","New York Philharmonic","Manhattan, NY","Carnegie Hall","Subscription Season","Tossy Spivakovsky","1630"
"1958-59","12/10/1958 20:30:00","1","Leonard Bernstein","New York Philharmonic","Manhattan, NY","United Nations General Assembly Hall","Special","Renata Tebaldi","908"
"1958-59","09/28/1958 15:00:00","1","Leonard Bernstein","New York Philharmonic","Washington, DC","Constitution Hall","Tour","","13518"
"1957-58","07/15/1958 20:30:00","1","Josef Krips","Stadium-NY Philharmonic","Manhattan, NY","Lewisohn Stadium","Stadium Concert","Claudio Arrau","11296"
"1957-58","06/15/1958 11:00:00","1","Dimitri Mitropoulos","New York Philharmonic","Mexico City, MEXICO","Auditorio Nacional","Tour","","5691"
"1957-58","06/10/1958 21:00:00","1","Dimitri Mitropoulos","New York Philharmonic","Rio de Janeiro, Brazil","Teatro Municipal","Tour","","5672"
"1957-58","06/06/1958 21:00:00","1","Dimitri Mitropoulos","New York Philharmonic","Sao Paulo, BRAZIL","Teatro Municipal","Tour","","5651"
"1957-58","05/31/1958 17:30:00","1","Dimitri Mitropoulos","New York Philharmonic","Buenos Aires, ARGENTINA","Teatro Colon","Tour","","1339"
"1957-58","02/17/1958 13:30:00","1","Franco Autori","New York Philharmonic","Garden City, NY","Garden City High School","Student Concert","","5158"
"1957-58","02/15/1958 20:45:00","1","Rafael Kubelík","New York Philharmonic","Manhattan, NY","Carnegie Hall","Subscription Season","Rudolf Firkusny","734"
"1957-58","01/18/1958 12:00:00","1","Leonard Bernstein","New York Philharmonic","Manhattan, NY","Carnegie Hall","Young People's Concert","","784"
"1957-58","11/16/1957 20:45:00","1","André Cluytens","New York Philharmonic","Manhattan, NY","Carnegie Hall","Subscription Season","Bidu Sayao","3069"
"1956-57","07/15/1957 20:30:00","1","Thomas Scherman","Stadium-NY Philharmonic","Manhattan, NY","Lewisohn Stadium","Stadium Concert","Joseph Fuchs","11286"
"1956-57","07/10/1957 20:30:00","1","Alexander Smallens","Stadium-NY Philharmonic","Manhattan, NY","Lewisohn Stadium","Stadium Concert","Harold Cone","11283"
"1956-57","05/05/1957 14:30:00","1","Dimitri Mitropoulos","New York Philharmonic","Manhattan, NY","Carnegie Hall","Subscription Season","Gregor Piatigorsky","1082"
"1956-57","04/10/1957 00:00:00","1","Dimitri Mitropoulos","New York Philharmonic","Utica, NY","Stanley Theater","Tour","","6345"
"1956-57","04/08/1957 20:30:00","1","Dimitri Mitropoulos","New York Philharmonic","Kingston, NY","Community Theater","Tour","","6337"
"1956-57","03/21/1957 20:45:00","2","Georg Solti","New York Philharmonic","Manhattan, NY","Carnegie Hall","Subscription Season","Erica Morini","7153"
"1956-57","03/12/1957 20:30:00","1","Dimitri Mitropoulos","New York Philharmonic","Staten Island, NY","Paramount Theatre","Subscription Season","","7150"
"1956-57","02/28/1957 20:45:00","2","Dimitri Mitropoulos","New York Philharmonic","Manhattan, NY","Carnegie Hall","Subscription Season","Rudolf Serkin","2805"
"1956-57","02/24/1957 14:30:00","1","Dimitri Mitropoulos","New York Philharmonic","Manhattan, NY","Carnegie Hall","Subscription Season","Jean Casadesus","2799"
"1956-57","02/23/1957 20:45:00","1","Dimitri Mitropoulos","New York Philharmonic","Manhattan, NY","Carnegie Hall","Subscription Season","Jean Casadesus","2798"
"1956-57","01/24/1957 20:45:00","2","Leonard Bernstein","New York Philharmonic","Manhattan, NY","Carnegie Hall","Subscription Season","","5809"
"1956-57","01/20/1957 14:30:00","1","Leonard Bernstein","New York Philharmonic","Manhattan, NY","Carnegie Hall","Subscription Season","Isaac Stern","5805"
"1956-57","01/17/1957 20:45:00","2","Leonard Bernstein","New York Philharmonic","Manhattan, NY","Carnegie Hall","Subscription Season","Isaac Stern","5797"
"1956-57","10/24/1956 00:00:00","1","Dimitri Mitropoulos,Hugh Ross","New York Philharmonic","Manhattan, NY","United Nations General Assembly Hall","Special","Schola Cantorum of NY,Leonid Hambro,Richard Tucker,Jascha Zayde,Elena Nikolaidi,Hilde Gueden,Otto Edelmann","7941"
"1956-57","10/21/1956 14:30:00","1","Dimitri Mitropoulos","New York Philharmonic","Manhattan, NY","Carnegie Hall","Subscription Season","John Wummer","739"
"1956-57","10/20/1956 20:45:00","1","Dimitri Mitropoulos","New York Philharmonic","Manhattan, NY","Carnegie Hall","Subscription Season","Stanley Babin","735"
"1956-57","10/18/1956 20:45:00","2","Dimitri Mitropoulos","New York Philharmonic","Manhattan, NY","Carnegie Hall","Subscription Season","John Wummer","729"
"1955-56","07/24/1956 20:30:00","1","Vladimir Golschmann","Stadium-NY Philharmonic","Manhattan, NY","Lewisohn Stadium","Stadium Concert","","11206"
"1955-56","07/03/1956 20:30:00","1","Howard Mitchell","Stadium-NY Philharmonic","Manhattan, NY","Lewisohn Stadium","Stadium Concert","Henri Deering","11179"
"1955-56","06/26/1956 20:30:00","1","Pierre Monteux","Stadium-NY Philharmonic","Manhattan, NY","Lewisohn Stadium","Stadium Concert","","11171"
"1955-56","03/15/1956 20:45:00","3","Guido Cantelli","New York Philharmonic","Manhattan, NY","Carnegie Hall","Subscription Season","Wilhelm Backhaus","6239"
"1955-56","02/18/1956 20:45:00","1","Franco Autori","New York Philharmonic","Manhattan, NY","Carnegie Hall","Subscription Season","Ventsis Yankoff","1875"
"1955-56","01/30/1956 13:00:00","1","Franco Autori","New York Philharmonic","Great Neck, NY","Senior (North) High School","Young People's Concert","Elliot Magaziner","1943"
"1955-56","01/12/1956 20:45:00","2","Max Rudolf","New York Philharmonic","Manhattan, NY","Carnegie Hall","Subscription Season","Isaac Stern","4887"
"1955-56","12/11/1955 14:30:00","1","George Szell","New York Philharmonic","Manhattan, NY","Carnegie Hall","Subscription Season","Leon Fleisher","1163"
