"Season","1st Date","# of Perfs","Conductor","Orch.","Location","Venue","Event","Soloist","ID"
"2001-02","06/01/2002 20:00:00","1","Kurt Masur","New York Philharmonic","Manhattan, NY","Avery Fisher Hall","Subscription Season","Anne-Sophie Mutter","9247"
"2000-01","02/10/2001 20:00:00","1","André Previn","New York Philharmonic","Greenvale, NY","Tilles Center for the Performing Arts (Main)","Runout","Gil Shaham","13552"
"1998-99","06/17/1999 20:00:00","2","Kurt Masur","New York Philharmonic","Manhattan, NY","Avery Fisher Hall","Subscription Season","Sarah Chang","8009"
"1998-99","01/15/1999 20:00:00","1","Kurt Masur","New York Philharmonic","Boston, MA","Symphony Hall","Tour","Members of the New York Philharmonic Brass","13284"
"1998-99","01/13/1999 20:00:00","1","Kurt Masur","New York Philharmonic","Chicago, IL","Symphony Center (Orchestra Hall)","Tour","Members of the New York Philharmonic Brass","13283"
"1998-99","01/09/1999 20:00:00","1","Kurt Masur","New York Philharmonic","Los Angeles, CA","Royce Hall","Tour","Members of the New York Philharmonic Brass","8171"
"1998-99","01/10/1999 20:00:00","1","Kurt Masur","New York Philharmonic","San Francisco, CA","Davies Symphony Hall","Tour","Members of the New York Philharmonic Brass","13282"
"1998-99","01/06/1999 20:00:00","1","Kurt Masur","New York Philharmonic","Las Vegas, NV","Artemus W. Ham Concert Hall","Tour","","8599"
"1996-97","12/07/1996 20:00:00","1","Kurt Masur","New York Philharmonic","Manhattan, NY","Avery Fisher Hall","Subscription Season","Frank Peter Zimmermann","7967"
"1995-96","08/25/1996 19:30:00","1","Kurt Masur","New York Philharmonic","Copenhagen, DENMARK","Tivoli Gardens Concert Hall","Tour","Anne-Sophie Mutter","7757"
"1995-96","08/17/1996 20:00:00","1","Kurt Masur","New York Philharmonic","Edinburgh, SCOTLAND","Usher Hall","Tour","Thomas Stacy","7754"
"1995-96","03/30/1996 20:00:00","2","Kurt Masur","New York Philharmonic","Manhattan, NY","Avery Fisher Hall","Subscription Season","Alfred Brendel","7840"
"1995-96","11/24/1995 11:00:00","1","Kurt Masur","New York Philharmonic","Manhattan, NY","Avery Fisher Hall","Subscription Season","Maxim Vengerov","7771"
"1989-90","12/16/1989 20:00:00","1","Zubin Mehta","New York Philharmonic","Manhattan, NY","Avery Fisher Hall","Subscription Season","Gerry Mulligan","803"
"1984-85","08/29/1985 20:00:00","1","Zubin Mehta","New York Philharmonic","Bridgeport, CT","Seaside Park","Parks","Neil Shicoff","4471"
"1981-82","02/09/1982 19:30:00","1","Larry Newland","New York Philharmonic","Manhattan, NY","Avery Fisher Hall","Subscription Season","Glenn Dicterow","181"
"1977-78","05/27/1978 20:30:00","1","Andre Kostelanetz","New York Philharmonic","Manhattan, NY","Avery Fisher Hall","Promenade","Carole Farley","6635"
"1977-78","10/17/1977 11:00:00","1","Erich Leinsdorf","New York Philharmonic","Manhattan, NY","Avery Fisher Hall","Young People's Concert","Beverly Sills","1923"
"1975-76","11/15/1975 20:30:00","1","Lawrence Foster","New York Philharmonic","Manhattan, NY","Avery Fisher Hall","Subscription Season","Alicia de Larrocha","78"
"2022-23","06/13/2023 20:00:00","3","Jaap van Zweden","New York Philharmonic","Bronx, NY,Manhattan, NY,Queens, NY","Van Cortlandt Park,The Great Lawn, Central Park,Cunningham Park","Parks","","14702"
